Country,Year,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP),Trade Balance,Sectoral Output
 Afghanistan ,-1.76264,-0.171617,-0.20009,-0.266165,-0.253398,-0.177255,-0.194824,-0.154157,-0.16854,-0.178702,-0.18182,-0.183987,-0.0271773,-0.178963
 Afghanistan ,-1.69553,-0.170603,-0.200046,-0.266005,-0.252949,-0.177154,-0.19474,-0.154144,-0.168497,-0.178626,-0.181736,-0.183904,-0.0287506,-0.178876
 Afghanistan ,-1.62841,-0.172657,-0.200135,-0.26581,-0.252871,-0.177359,-0.19491,-0.15417,-0.168584,-0.178781,-0.181903,-0.184072,-0.0281575,-0.179053
 Afghanistan ,-1.56129,-0.171975,-0.200105,-0.265814,-0.253023,-0.177291,-0.194854,-0.154161,-0.168555,-0.178729,-0.181847,-0.184016,-0.0273668,-0.178994
 Afghanistan ,-1.49418,-0.167502,-0.199911,-0.265482,-0.252786,-0.176845,-0.194484,-0.154107,-0.168366,-0.178392,-0.181478,-0.183652,-0.0269128,-0.17861
 Afghanistan ,-1.42706,-0.164291,-0.199771,-0.265393,-0.25263,-0.176526,-0.194218,-0.154067,-0.16823,-0.178149,-0.181213,-0.18339,-0.0272863,-0.178334
 Afghanistan ,-1.35995,-0.161876,-0.199666,-0.265228,-0.252427,-0.176285,-0.194018,-0.154038,-0.168127,-0.177968,-0.181014,-0.183193,-0.0275206,-0.178127
 Afghanistan ,-1.29283,-0.157493,-0.199475,-0.26515,-0.252125,-0.175849,-0.193657,-0.153984,-0.167943,-0.177639,-0.180652,-0.182836,-0.0287286,-0.177751
 Afghanistan ,-1.22572,-0.153055,-0.199282,-0.265083,-0.251968,-0.175406,-0.193289,-0.15393,-0.167754,-0.177294,-0.180285,-0.182472,-0.0292192,-0.177369
 Afghanistan ,-1.1586,-0.147954,-0.199058,-0.264685,-0.251586,-0.174898,-0.192866,-0.153867,-0.167535,-0.176926,-0.179868,-0.182058,-0.0292055,-0.176932
 Afghanistan ,-1.09149,-0.14773,-0.199052,-0.264699,-0.251564,-0.17488,-0.192852,-0.153865,-0.167535,-0.176908,-0.179853,-0.182042,-0.0293942,-0.176916
 Afghanistan ,-1.02437,-0.150576,-0.199174,-0.264873,-0.251765,-0.175156,-0.193081,-0.153899,-0.167646,-0.177076,-0.180078,-0.182264,-0.0292205,-0.177151
 Afghanistan ,-0.957254,-0.150383,-0.199159,-0.264845,-0.251749,-0.175138,-0.193066,-0.153896,-0.16763,-0.177157,-0.180132,-0.182261,-0.029162,-0.177145
 Afghanistan ,-0.890138,-0.150632,-0.199188,-0.264868,-0.251767,-0.175184,-0.193104,-0.153903,-0.167682,-0.177122,-0.180171,-0.182284,-0.02918,-0.177172
 Afghanistan ,-0.823022,-0.151628,-0.199216,-0.264897,-0.251802,-0.175237,-0.193149,-0.15391,-0.167665,-0.177023,-0.18021,-0.182324,-0.0291432,-0.177214
 Afghanistan ,-0.755907,-0.151194,-0.199174,-0.264917,-0.25183,-0.175222,-0.193136,-0.153905,-0.167642,-0.177493,-0.180249,-0.182363,-0.0291011,-0.177246
 Afghanistan ,-0.688791,-0.151631,-0.199283,-0.264926,-0.251838,-0.175345,-0.193238,-0.153924,-0.167846,-0.177039,-0.180258,-0.182373,-0.0291006,-0.177273
 Afghanistan ,-0.621675,-0.157678,-0.199445,-0.265148,-0.252107,-0.17573,-0.193557,-0.153971,-0.167777,-0.177047,-0.180597,-0.182715,-0.0288145,-0.177629
 Afghanistan ,-0.55456,-0.154191,-0.199691,-0.265325,-0.252321,-0.176588,-0.19427,-0.154087,-0.168039,-0.178253,-0.180869,-0.182989,-0.0285857,-0.177997
 Afghanistan ,-0.487444,-0.14056,-0.199507,-0.265011,-0.251941,-0.176519,-0.194213,-0.154075,-0.167872,-0.179076,-0.180388,-0.182504,-0.0289899,-0.177566
 Afghanistan ,-0.420328,-0.15576,-0.19892,-0.264769,-0.251649,-0.175437,-0.193315,-0.153953,-0.167221,-0.174452,-0.180019,-0.18213,-0.0292995,-0.177077
 Afghanistan ,-0.353213,-0.154046,-0.198867,-0.264527,-0.250907,-0.175456,-0.19333,-0.153945,-0.167119,-0.17617,-0.180176,-0.18229,-0.032016,-0.177218
 Afghanistan ,-0.286097,-0.146894,-0.19845,-0.264029,-0.24969,-0.17668,-0.194346,-0.153902,-0.166797,-0.176907,-0.180134,-0.182247,-0.0359439,-0.177367
 Afghanistan ,-0.218981,-0.149959,-0.198806,-0.264211,-0.24963,-0.177634,-0.195139,-0.154017,-0.168109,-0.177735,-0.180738,-0.182857,-0.0372078,-0.178041
 Afghanistan ,-0.151866,-0.162192,-0.19978,-0.265083,-0.250852,-0.178591,-0.195934,-0.154218,-0.168944,-0.179497,-0.181873,-0.184004,-0.0351907,-0.179181
 Afghanistan ,-0.0847501,-0.147841,-0.198287,-0.263502,-0.247771,-0.178511,-0.195867,-0.153998,-0.167584,-0.178473,-0.180825,-0.182946,-0.0434763,-0.178251
 Afghanistan ,-0.0176345,-0.150817,-0.198218,-0.263263,-0.247096,-0.178381,-0.195759,-0.154006,-0.167461,-0.178737,-0.180913,-0.183034,-0.0458534,-0.178339
 Afghanistan ,0.0494812,-0.147931,-0.197853,-0.26255,-0.245521,-0.178025,-0.195464,-0.15397,-0.167176,-0.178824,-0.180657,-0.182775,-0.0505806,-0.178084
 Afghanistan ,0.116597,-0.149,-0.197733,-0.262157,-0.24454,-0.177673,-0.195172,-0.153972,-0.16706,-0.179043,-0.180647,-0.182765,-0.0537888,-0.178028
 Afghanistan ,0.183713,-0.161806,-0.198504,-0.263124,-0.246305,-0.177732,-0.19522,-0.154094,-0.167591,-0.179557,-0.181428,-0.183555,-0.0493628,-0.178692
 Afghanistan ,0.250828,-0.145718,-0.197002,-0.260562,-0.240877,-0.176255,-0.19399,-0.153919,-0.166449,-0.179288,-0.180236,-0.182351,-0.0651145,-0.177401
 Afghanistan ,0.317944,-0.144956,-0.196498,-0.260128,-0.239439,-0.175484,-0.193344,-0.153921,-0.165829,-0.179158,-0.179977,-0.182091,-0.0705559,-0.17705
 Afghanistan ,0.385059,-0.146845,-0.197128,-0.259899,-0.240045,-0.175224,-0.193152,-0.153341,-0.164985,-0.177654,-0.179438,-0.181539,-0.0661303,-0.176569
 Afghanistan ,0.452175,-0.144059,-0.196688,-0.255967,-0.233424,-0.17539,-0.193275,-0.153023,-0.163516,-0.177027,-0.178847,-0.180943,-0.0811621,-0.176168
 Afghanistan ,0.519291,-0.145612,-0.194327,-0.255524,-0.231607,-0.175072,-0.192968,-0.152497,-0.162387,-0.176606,-0.178169,-0.180273,-0.0885865,-0.175646
 Afghanistan ,0.586406,-0.138984,-0.192142,-0.255385,-0.230799,-0.174919,-0.192783,-0.15187,-0.162798,-0.176147,-0.177329,-0.179428,-0.092188,-0.174967
 Afghanistan ,0.653522,-0.132609,-0.190226,-0.253772,-0.22968,-0.174815,-0.192617,-0.151383,-0.162102,-0.175625,-0.176407,-0.17853,-0.0898122,-0.174282
 Afghanistan ,0.720638,-0.110901,-0.190095,-0.253384,-0.228309,-0.173388,-0.191303,-0.150368,-0.159448,-0.173951,-0.174101,-0.176186,-0.0951361,-0.172191
 Afghanistan ,0.787753,-0.114759,-0.190472,-0.252063,-0.231326,-0.173164,-0.191045,-0.149373,-0.157346,-0.173097,-0.173257,-0.175348,-0.0721449,-0.171563
